,objectId,location,cityId,name,population,createdAt,updatedAt
1416,QJ25m6nSrV,"{'__type': 'GeoPoint', 'latitude': 48.46893, 'longitude': 38.81669}",713716,Alchevs’k,116000,2019-12-14T02:43:41.133Z,2019-12-14T02:43:41.133Z
1417,S3KiNKLTgt,"{'__type': 'GeoPoint', 'latitude': 45.01596, 'longitude': 34.05725}",713759,Agrarnoye,3754,2019-12-14T02:43:41.133Z,2019-12-14T02:43:41.133Z
1418,3rXkCkMwSA,"{'__type': 'GeoPoint', 'latitude': 44.94194, 'longitude': 33.82229}",713766,Lekarstvennoye,1241,2019-12-14T02:43:41.133Z,2019-12-14T02:43:41.133Z
1419,RoedEJCP9D,"{'__type': 'GeoPoint', 'latitude': 45.51981, 'longitude': 34.82438}",713745,Akimovka,1312,2019-12-14T02:43:41.133Z,2019-12-14T02:43:41.133Z
1420,8NH0IPHFoD,"{'__type': 'GeoPoint', 'latitude': 45.10759, 'longitude': 35.10139}",713816,Abrikosovka,1079,2019-12-14T02:43:42.915Z,2019-12-14T02:43:42.915Z
1421,3MkM9tdnDS,"{'__type': 'GeoPoint', 'latitude': 49.81667, 'longitude': 36.73333}",793657,Malynivka,7502,2019-12-14T02:43:42.915Z,2019-12-14T02:43:42.915Z
1422,nv0qIJo0oU,"{'__type': 'GeoPoint', 'latitude': 48.54245, 'longitude': 32.53542}",713784,Adzhamka,3859,2019-12-14T02:43:42.915Z,2019-12-14T02:43:42.915Z
1423,SacCNZLve3,"{'__type': 'GeoPoint', 'latitude': 48.2197, 'longitude': 23.48457}",829745,Kopashnovo,3010,2019-12-14T02:43:42.915Z,2019-12-14T02:43:42.915Z
1424,N0r2EERAJu,"{'__type': 'GeoPoint', 'latitude': 45.12944, 'longitude': 33.6318}",832394,Orekhovo,3049,2019-12-14T02:43:42.915Z,2019-12-14T02:43:42.915Z
1425,YGcJMB3XpK,"{'__type': 'GeoPoint', 'latitude': 45.50357, 'longitude': 32.7225}",832388,Novosel’skoye,2424,2019-12-14T02:43:42.915Z,2019-12-14T02:43:42.915Z
1426,TjSbWgrBDu,"{'__type': 'GeoPoint', 'latitude': 47.16302, 'longitude': 29.78937}",864871,Kuchurhan,3183,2019-12-14T02:43:42.915Z,2019-12-14T02:43:42.915Z
1427,VZymcGIPDd,"{'__type': 'GeoPoint', 'latitude': 47.54044, 'longitude': 29.46001}",860012,Okny,5461,2019-12-14T02:43:42.915Z,2019-12-14T02:43:42.915Z
1428,PKNXYEZSP9,"{'__type': 'GeoPoint', 'latitude': 49.51717, 'longitude': 26.64178}",829788,Narkevychi,1631,2019-12-14T02:43:42.915Z,2019-12-14T02:43:42.915Z
1429,4FxpcCrpZL,"{'__type': 'GeoPoint', 'latitude': 47.65311, 'longitude': 35.69512}",829795,Kirove,3291,2019-12-14T02:43:42.915Z,2019-12-14T02:43:42.915Z
1430,iWkHeeSunW,"{'__type': 'GeoPoint', 'latitude': 51.51964, 'longitude': 30.73434}",6930327,Slavutych,25000,2019-12-14T02:43:42.915Z,2019-12-14T02:43:42.915Z
1431,76uiDcSTfS,"{'__type': 'GeoPoint', 'latitude': 46.36313, 'longitude': 30.64891}",865086,Tayirove,1849,2019-12-14T02:43:42.915Z,2019-12-14T02:43:42.915Z
1432,r8BCvCsGJn,"{'__type': 'GeoPoint', 'latitude': 45.35134, 'longitude': 34.3523}",6957910,Rovnoye,1399,2019-12-14T02:43:42.915Z,2019-12-14T02:43:42.915Z
1433,fJft628sXV,"{'__type': 'GeoPoint', 'latitude': 44.8321, 'longitude': 34.05912}",6974509,Kashtanovoye,1028,2019-12-14T02:43:42.915Z,2019-12-14T02:43:42.915Z
1434,a3obOeDMa9,"{'__type': 'GeoPoint', 'latitude': 49.01018, 'longitude': 33.63567}",6559559,Horishni Plavni,51740,2019-12-14T02:43:42.915Z,2019-12-14T02:43:42.915Z
1435,pWnYmgFYkN,"{'__type': 'GeoPoint', 'latitude': 50.2391, 'longitude': 25.76575}",864933,Smyga,2800,2019-12-14T02:43:42.915Z,2019-12-14T02:43:42.915Z
1436,PjHNB68U3A,"{'__type': 'GeoPoint', 'latitude': 50.8, 'longitude': 26.12}",6931023,Orzhiv,4125,2019-12-14T02:43:42.915Z,2019-12-14T02:43:42.915Z
1437,PLh82TFaQv,"{'__type': 'GeoPoint', 'latitude': 46.50585, 'longitude': 30.32521}",865087,Teplodar,8502,2019-12-14T02:43:42.915Z,2019-12-14T02:43:42.915Z
1438,QPIyq4VbTy,"{'__type': 'GeoPoint', 'latitude': 44.87083, 'longitude': 34.04278}",6974567,Levadki,1036,2019-12-14T02:43:42.915Z,2019-12-14T02:43:42.915Z
1439,c1n0kmghd5,"{'__type': 'GeoPoint', 'latitude': 45.02908, 'longitude': 34.93623}",6957703,Kurskoye,1204,2019-12-14T02:43:42.915Z,2019-12-14T02:43:42.915Z
1440,b7CcEOu3gp,"{'__type': 'GeoPoint', 'latitude': 45.07585, 'longitude': 33.99942}",6980613,Malen’koye,1546,2019-12-14T02:43:45.016Z,2019-12-14T02:43:45.016Z
1441,CXNJDBmyJ8,"{'__type': 'GeoPoint', 'latitude': 45.19885, 'longitude': 34.42012}",6988115,Mel’nichnoye,746,2019-12-14T02:43:45.016Z,2019-12-14T02:43:45.016Z
1442,fgHSIzHNkl,"{'__type': 'GeoPoint', 'latitude': 45.45108, 'longitude': 34.78812}",7019389,Uvarovka,1136,2019-12-14T02:43:45.017Z,2019-12-14T02:43:45.017Z
1443,2XXQsHBplu,"{'__type': 'GeoPoint', 'latitude': 44.89717, 'longitude': 34.07297}",6982930,Fontany,2681,2019-12-14T02:43:45.016Z,2019-12-14T02:43:45.016Z
1444,UjHpy86yAN,"{'__type': 'GeoPoint', 'latitude': 45.73704, 'longitude': 34.41299}",7021003,Izumrudnoye,1905,2019-12-14T02:43:45.017Z,2019-12-14T02:43:45.017Z
1445,oelo7kzs4W,"{'__type': 'GeoPoint', 'latitude': 45.019, 'longitude': 34.03049}",6976172,Komsomol’skoye,4447,2019-12-14T02:43:45.016Z,2019-12-14T02:43:45.016Z
1446,nfsFMlScvQ,"{'__type': 'GeoPoint', 'latitude': 44.9949, 'longitude': 34.04167}",6975347,Beloglinka,1989,2019-12-14T02:43:45.016Z,2019-12-14T02:43:45.016Z
1447,CmW9pRF810,"{'__type': 'GeoPoint', 'latitude': 45.04767, 'longitude': 34.0838}",6981547,Solnechnoye,1015,2019-12-14T02:43:45.016Z,2019-12-14T02:43:45.016Z
1448,KtYCLzAKZF,"{'__type': 'GeoPoint', 'latitude': 44.99133, 'longitude': 34.20311}",6984570,Trudovoye,2173,2019-12-14T02:43:45.016Z,2019-12-14T02:43:45.016Z
1449,HDFGw2fZAY,"{'__type': 'GeoPoint', 'latitude': 44.88687, 'longitude': 34.10168}",6982932,Zalesye,1063,2019-12-14T02:43:45.016Z,2019-12-14T02:43:45.016Z
1450,fFCq2FeNKo,"{'__type': 'GeoPoint', 'latitude': 45.04522, 'longitude': 34.13511}",6983708,Urozhaynoye,3350,2019-12-14T02:43:45.016Z,2019-12-14T02:43:45.016Z
1451,v17esjDGTG,"{'__type': 'GeoPoint', 'latitude': 45.42453, 'longitude': 34.28545}",7018913,Nekrasovo,1026,2019-12-14T02:43:45.016Z,2019-12-14T02:43:45.016Z
1452,T1DOSGF6dF,"{'__type': 'GeoPoint', 'latitude': 44.85511, 'longitude': 34.12069}",6982946,Konstantinovka,1354,2019-12-14T02:43:45.016Z,2019-12-14T02:43:45.016Z
